"colname"	"shortColname"	"longColname"	"typeof"
"OS_STATUS"	"Overall survival status"	"Overall patient survival status"	"STRING"
"OS_MONTHS"	"Overall survival (Months)"	"Overall survival in months"	"NUMBER"
"DFS_STATUS"	"Disease free status"	"Disease free status"	"STRING"
"DFS_MONTHS"	"Disease free (Months)"	"Disease free"	"NUMBER"
"PATIENT_DISPLAY_NAME"	"Name"	"Patient name"	"STRING"
"GENDER"	"Gender"	"Gender"	"STRING"
"SEX"	"Sex"	"Sex"	"STRING"
"AGE"	"Age (Years)"	"Age"	"STRING"
"TUMOR_SITE"	"Tumor site"	"Tumor site"	"STRING"
"CANCER_TYPE"	"Cancer type"	"Cancer type"	"STRING"
"CANCER_TYPE_DETAILED"	"Cancer type detailed"	"Cancer type detailed"	"STRING"
"ONCOTREE_CODE"	"Oncotree code"	"Oncotree code"	"STRING"
"KNOWN_MOLECULAR_CLASSIFIER"	"Known mol. classifier"	"Known molecular classifier"	"STRING"
"GLEASON_SCORE"	"Gleason score"	"Gleason score"	"NUMBER"
"HISTOLOGY"	"Histology"	"Histology"	"NUMBER"
"TUMOR_STAGE_2009"	"Tumor stage 2009"	"Tumor stage 2009"	"STRING"
"TUMOR_GRADE"	"Tumor grade"	"Tumor grade"	"STRING"
"ETS_RAF_SPINK1_STATUS"	"ETS_RAF_SPINK1_STATUS"	"ETS_RAF_SPINK1_STATUS"	"STRING"
"TMPRSS2_ERG_FUSION_STATUS"	"TMPRSS2_ERG_FUSION_STATUS"	"TMPRSS2_ERG_FUSION_STATUS"	"STRING"
"ERG_FUSION_ACGH"	"ERG_FUSION_ACGH"	"ERG_FUSION_ACGH"	"STRING"
"SERUM_PSA"	"SERUM_PSA"	"SERUM_PSA"	"STRING"
"DRIVER_MUTATIONS"	"Driver mutations"	"Driver mutations"	"STRING"
